case_id,t_fips,p_name,p_year,t_cap,,,,,,,
3073305,6029,Oak Creek Energy Systems,1982,65,,,,,,,
3078139,6029,Oak Creek Energy Systems,1982,75,,,,,,,
3078138,6029,Oak Creek Energy Systems,1982,75,,,,,,,
3078137,6029,Oak Creek Energy Systems,1982,108,,,,,,,
3073047,6029,Windland,1982,120,,,,,,,
3073162,6029,Windland,1982,120,,,,,,,
3073071,6029,Windland,1982,120,,,,,,,
3072898,6029,Windland,1982,120,,,,,,,
3073053,6029,Windland,1982,120,,,,,,,
3073134,6029,Windland,1982,120,,,,,,,
3072878,6029,Windland,1982,120,,,,,,,
3073117,6029,Windland,1982,120,,,,,,,
3072915,6029,Windland,1982,120,,,,,,,
3071139,6029,Windland,1982,225,,,,,,,
3071156,6029,Windland,1982,225,,,,,,,
3071148,6029,Windland,1982,225,,,,,,,
3071143,6029,Windland,1982,225,,,,,,,
3071147,6029,Windland,1982,225,,,,,,,
3071142,6029,Windland,1982,225,,,,,,,
3071159,6029,Windland,1982,225,,,,,,,
3071154,6029,Windland,1982,225,,,,,,,
3071160,6029,Windland,1982,225,,,,,,,
3071144,6029,Windland,1982,225,,,,,,,
3071146,6029,Windland,1982,225,,,,,,,
3071149,6029,Windland,1982,225,,,,,,,
3071152,6029,Windland,1982,225,,,,,,,
3071140,6029,Windland,1982,225,,,,,,,
3071158,6029,Windland,1982,225,,,,,,,
3072865,6029,Windland,1982,225,,,,,,,
3071155,6029,Windland,1982,225,,,,,,,
3071151,6029,Windland,1982,225,,,,,,,
3073034,6029,Windland,1982,225,,,,,,,
3071150,6029,Windland,1982,225,,,,,,,
3072896,6029,Windland,1982,225,,,,,,,
3071161,6029,Windland,1982,225,,,,,,,
3073113,6029,Windland,1982,250,,,,,,,
3073013,6029,Windland,1982,250,,,,,,,
3073212,6029,Windland,1982,250,,,,,,,
3073114,6029,Windland,1982,250,,,,,,,
3073093,6029,Windland,1982,250,,,,,,,
3072986,6029,Windland,1982,250,,,,,,,
3071157,6029,Windland,1982,250,,,,,,,
3073075,6029,Windland,1982,250,,,,,,,
3071141,6029,Windland,1982,250,,,,,,,
3072873,6029,Windland,1982,250,,,,,,,
3071138,6029,Windland,1982,250,,,,,,,
3073088,6029,Windland,1982,250,,,,,,,
3072892,6029,Windland,1982,250,,,,,,,
3072869,6029,Windland,1982,250,,,,,,,
3073046,6029,Windland,1982,250,,,,,,,
3072902,6029,Windland,1982,250,,,,,,,
3073116,6029,Windland,1982,250,,,,,,,
3071153,6029,Windland,1982,250,,,,,,,
