p_year,xlong,ylat
2000,-84.338295,36.119793
2000,-84.339096,36.121895
2000,-84.338669,36.120659
2000,-111.920059,40.439678
2000,-106.179596,41.671356
2000,-106.185081,41.673096
2000,-106.180664,41.675117
2000,-106.178711,41.669029
2000,-106.180389,41.673523
2000,-106.181107,41.68306
2000,-106.181076,41.677486
2000,-106.175316,41.673134
2000,-106.180847,41.681538
2000,-106.181206,41.678291
2000,-106.181503,41.680046
2000,-106.181351,41.679092
2000,-106.18483,41.672363
2000,-106.175789,41.676872
2000,-106.180916,41.676735
2000,-106.179871,41.672085
2000,-106.174995,41.672359
2000,-106.18013,41.672806
2000,-106.174759,41.671589
2000,-106.178444,41.668137
2000,-106.175591,41.67614
2000,-106.181244,41.683811
2000,-106.181351,41.684566
2000,-106.180984,41.682312
2000,-106.180801,41.675922
2000,-106.175392,41.675377
2000,-106.17907,41.669888
2000,-106.178078,41.66724
2000,-106.180527,41.674355
2000,-79.067894,39.847294
2000,-79.070198,39.852993
2000,-79.057594,39.856392
2000,-79.070496,39.851692
2000,-79.063194,39.850094
2000,-79.075897,39.845791
2000,-79.063599,39.848492
2000,-79.069595,39.854092
2000,-75.455399,42.89719
2000,-75.457497,42.894192
2000,-75.4534,42.892891
2000,-75.452995,42.896893
2000,-75.450096,42.896191
2000,-75.447495,42.894489
2000,-75.447395,42.89259
2000,-106.239914,41.829453
2000,-106.24057,41.830673
2000,-116.617889,33.941296
2000,-116.632889,33.942196
2000,-116.623489,33.941494
2000,-116.617889,33.940796
2000,-116.632896,33.940228
2000,-116.623489,33.942097
2000,-116.632874,33.941631
2000,-116.623474,33.94091
2000,-116.627785,33.940796
2000,-116.632889,33.940895
2000,-96.429581,44.411407
2000,-96.429893,44.414028
2000,-96.432594,44.412991
2000,-96.432991,44.422493
2000,-96.431992,44.42609
2000,-96.435593,44.426193
2000,-96.438393,44.422592
2000,-96.430145,44.416115
2000,-96.43589,44.428993
2000,-96.430092,44.427692
