p_year,xlong,ylat
1981,-116.578186,33.889793
1981,-116.597656,33.898495
1981,-116.565689,33.894394
1981,-116.576591,33.890694
1981,-116.599091,33.900295
1981,-116.579689,33.890095
1981,-116.566292,33.892197
1981,-116.577385,33.892994
1981,-116.601891,33.899494
1981,-116.578987,33.892696
1981,-116.574486,33.892994
1981,-116.579185,33.891994
1981,-116.599091,33.899296
1981,-116.575188,33.890396
1981,-116.565392,33.890495
1981,-116.574791,33.891693
1981,-116.575485,33.889496
1981,-116.576385,33.891296
1981,-116.565285,33.891094
1981,-116.564987,33.896793
1981,-116.578285,33.889496
1981,-116.56369,33.892296
1981,-116.565689,33.889397
1981,-116.599091,33.899895
1981,-116.569588,33.894997
1981,-116.579788,33.889793
1981,-116.577988,33.890797
1981,-116.578384,33.889194
1981,-116.565491,33.890293
1981,-116.597649,33.897533
1981,-116.577789,33.891396
1981,-116.574989,33.891094
1981,-116.579086,33.892395
1981,-116.576065,33.89793
1981,-116.565491,33.894894
1981,-116.577591,33.897896
1981,-116.565086,33.891594
1981,-116.575912,33.930634
1981,-116.574585,33.892696
1981,-116.564087,33.890896
1981,-116.577591,33.892094
1981,-116.580589,33.887196
1981,-116.564789,33.892796
1981,-116.574791,33.892094
1981,-116.565575,33.889973
1981,-116.579285,33.891396
1981,-116.565689,33.894096
1981,-116.599091,33.899593
1981,-116.579185,33.891693
1981,-116.576164,33.897629
1981,-116.563789,33.891693
1981,-116.599068,33.897808
1981,-116.564789,33.892994
1981,-116.566185,33.892395
1981,-116.597672,33.899624
1981,-116.575386,33.889793
1981,-116.565788,33.893795
1981,-116.563591,33.892494
1981,-116.57679,33.889694
1981,-116.564888,33.892494
1981,-116.565086,33.896294
1981,-116.578789,33.893295
1981,-116.576691,33.890293
1981,-116.597656,33.897884
1981,-116.565086,33.891895
1981,-116.601891,33.900196
1981,-116.577286,33.893295
1981,-116.597672,33.899284
1981,-116.563789,33.896694
1981,-116.578087,33.890495
1981,-116.597641,33.898201
1981,-116.579491,33.890797
